Tweet;Language;Sentiment
cest neymar doit partir mbapp veut jouer gauch met bon avant centr messi ct;fr;0
cest neymar doit partir mbapp veut jouer gauch met bon avant centr messi ct;fr;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
euuuuhhh christ nest messi attendu rejet juif ben donc petit lien quand mme hein lancien testament nest nouveau testament form bibl ben;fr;0
euuuuhhh christ nest messi attendu rejet juif ben donc petit lien quand mme hein lancien testament nest nouveau testament form bibl ben;fr;0
let know messi pleas;en;0
let know messi pleas;en;0
euuuuhhh christ nest messi attendu rejet juif ben donc petit lien quand mme hein lancien testament nest nouveau testament form bibl ben;fr;0
euuuuhhh christ nest messi attendu rejet juif ben donc petit lien quand mme hein lancien testament nest nouveau testament form bibl ben;fr;0
let know messi pleas;en;0
let know messi pleas;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
real madrid fan cant accept messi goat cring;en;0
real madrid fan cant accept messi goat cring;en;0
real madrid fan cant accept messi goat cring;en;0
real madrid fan cant accept messi goat cring;en;0
zlatan ibrahimov barcelona tallest player field iniesta xavi ball alwa;en;0
zlatan ibrahimov barcelona tallest player field iniesta xavi ball alwa;en;0
zlatan ibrahimov barcelona tallest player field iniesta xavi ball alwa;en;0
zlatan ibrahimov barcelona tallest player field iniesta xavi ball alwa;en;0
ever say lad ive alway said section call messi bad jan sep still better vini whose wors sinc start season never compar messi season vini begin year delusion lad;en;0
ever say lad ive alway said section call messi bad jan sep still better vini whose wors sinc start season never compar messi season vini begin year delusion lad;en;0
ever say lad ive alway said section call messi bad jan sep still better vini whose wors sinc start season never compar messi season vini begin year delusion lad;en;0
ever say lad ive alway said section call messi bad jan sep still better vini whose wors sinc start season never compar messi season vini begin year delusion lad;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
superb compil messi;en;1
superb compil messi;en;1
superb compil messi;en;1
superb compil messi;en;1
